(1, 0), 511.090617	
(1, 0), 516.180357	
(1, 0), 495.146344	
(1, 0), 511.799595	
(1, 0), 496.406371	
(1, 1), 508.920957	
(1, 1), 499.261446	
(1, 1), 511.366501	
(1, 1), 522.435507	
(1, 2), 501.081125	
(1, 2), 509.560041	
(1, 2), 483.560282	
(1, 3), 516.650500	
(1, 3), 513.984150	
(1, 4), 511.737042	
(2, 0), 498.453911	
(2, 0), 501.322615	
(2, 0), 512.201740	
(2, 0), 491.684995	
(2, 1), 501.555651	
(2, 1), 511.032877	
(2, 1), 497.912145	
(2, 1), 500.769800	
(2, 1), 495.254529	
(2, 2), 483.886352	
(2, 2), 504.034899	
(2, 2), 493.580449	
(2, 2), 512.935452	
(2, 3), 510.708459	
(2, 3), 505.756009	
(2, 3), 478.157059	
(2, 4), 492.776553	
(2, 4), 492.164357	
(2, 5), 507.276303	
(3, 0), 506.983043	
(3, 0), 521.119471	
(3, 0), 510.905780	
(3, 0), 528.199942	
(3, 1), 503.446563	
(3, 1), 500.983877	
(3, 1), 513.200314	
(3, 1), 502.591074	
(3, 2), 503.992825	
(3, 2), 497.682251	
(3, 2), 499.143252	
(3, 2), 499.428205	
(3, 2), 490.851396	
(3, 3), 490.178728	
(3, 3), 492.656986	
(3, 3), 498.401905	
(3, 3), 516.327654	
(3, 4), 502.955778	
(3, 4), 501.360069	
(3, 4), 482.020374	
(3, 5), 493.983512	
(3, 5), 487.965966	
(3, 6), 495.287819	
(4, 0), 511.270753	
(4, 0), 499.353732	
(4, 0), 506.118397	
(4, 0), 514.316015	
(4, 1), 487.912349	
(4, 1), 506.293957	
(4, 1), 486.760021	
(4, 1), 500.736562	
(4, 2), 486.819083	
(4, 2), 502.586961	
(4, 2), 497.402148	
(4, 2), 492.863893	
(4, 3), 516.058832	
(4, 3), 523.356512	
(4, 3), 512.560283	
(4, 3), 519.992807	
(4, 3), 509.092568	
(4, 4), 487.982815	
(4, 4), 488.075208	
(4, 4), 487.975189	
(4, 4), 507.591364	
(4, 5), 510.121782	
(4, 5), 515.998323	
(4, 5), 498.047859	
(4, 6), 503.008407	
(4, 6), 491.264160	
(4, 7), 501.922022	
(5, 4), 495.563067	
(6, 5), 509.207554	
(7, 6), 505.797803	
(8, 7), 509.895925	
(9, 1), 491.782911	
